iter	Passed	Remaining
1286	144488	192314
1287	144595	192195
1288	144692	192062
1289	144786	191925
1290	144911	191831
1291	145024	191720
1292	145148	191622
1293	145264	191515
1294	145375	191401
1295	145477	191276
1296	145563	191129
1297	145683	191027
1298	145778	190892
1299	145885	190773
1300	145980	190638
1301	146106	190543
1302	146221	190436
1303	146341	190333
1304	146441	190206
1305	146541	190077
1306	146649	189959
1307	146773	189863
1308	146890	189756
1309	147004	189646
1310	147129	189551
1311	147229	189423
1312	147345	189315
1313	147474	189225
1314	147586	189112
1315	147707	189011
1316	147811	188888
1317	147932	188788
1318	148045	188676
1319	148147	188551
1320	148249	188425
1321	148382	188340
1322	148499	188233
1323	148605	188114
1324	148719	188003
1325	148837	187898
1326	148955	187794
1327	149071	187686
1328	149193	187585
1329	149315	187486
1330	149438	187387
1331	149544	187267
1332	149649	187145
1333	149765	187039
1334	149863	186907
1335	149977	186798
1336	150099	186698
1337	150211	186585
1338	150322	186472
1339	150444	186371
1340	150548	186248
1341	150639	186110
1342	150757	186005
1343	150864	185887
1344	150974	185771
1345	151112	185691
1346	151223	185577
1347	151322	185449
1348	151528	185450
1349	151632	185328
1350	151735	185204
1351	151838	185080
1352	151956	184975
1353	152087	184886
1354	152184	184755
1355	152288	184633
1356	152406	184527
1357	152515	184411
1358	152607	184273
1359	152728	184172
1360	152862	184086
1361	152998	184003
1362	153100	183878
1363	153200	183751
1364	153301	183624
1365	153401	183497
1366	153486	183352
1367	153577	183215
1368	153682	183094
1369	153776	182960
1370	153869	182825
1371	153976	182707
1372	154086	182591
1373	154181	182458
1374	154290	182343
1375	154381	182205
1376	154505	182107
1377	154612	181989
1378	154714	181865
1379	154824	181750
1380	154936	181638
1381	155042	181518
1382	155156	181408
1383	155260	181286
1384	155374	181176
1385	155516	181098
1386	155632	180990
1387	155746	180881
1388	155857	180767
1389	155976	180663
1390	156081	180542
1391	156200	180438
1392	156322	180337
1393	156443	180235
1394	156546	180112
1395	156670	180014
1396	156765	179881
1397	156883	179776
1398	156992	179660
1399	157107	179551
1400	157206	179424
1401	157328	179322
1402	157447	179218
1403	157563	179111
1404	157725	179055
1405	157874	178984
1406	157969	178852
1407	158097	178757
1408	158198	178632
1409	158313	178523
1410	158423	178408
1411	158529	178289
1412	158639	178174
1413	158757	178069
1414	158879	177967
1415	158994	177857
1416	159102	177740
1417	159208	177621
1418	159322	177511
1419	159430	177394
1420	159540	177279
1421	159646	177160
1422	159752	177040
1423	159858	176921
1424	159976	176816
1425	160066	176679
1426	160180	176568
1427	160292	176456
1428	160391	176329
1429	160494	176207
1430	160619	176108
1431	160723	175987
1432	160849	175890
1433	160965	175782
1434	161082	175675
1435	161178	175545
1436	161280	175422
1437	161382	175298
1438	161498	175190
1439	161620	175089
1440	161722	174965
1441	161855	174876
1442	161959	174755
1443	162064	174634
1444	162185	174531
1445	162307	174430
1446	162442	174341
1447	162597	174275
1448	162689	174141
1449	162794	174022
1450	162913	173916
1451	163032	173811
1452	163136	173689
1453	163244	173574
1454	163354	173458
1455	163452	173331
1456	163566	173221
1457	163672	173101
1458	163797	173003
1459	163923	172905
1460	164058	172817
1461	164166	172700
1462	164262	172571
1463	164380	172464
1464	164487	172347
1465	164588	172222
1466	164689	172098
1467	164782	171966
1468	164889	171848
1469	164994	171728
1470	165115	171625
1471	165214	171500
1472	165318	171379
1473	165430	171266
1474	165533	171144
1475	165650	171037
1476	165749	170911
1477	165852	170790
1478	165957	170670
1479	166067	170556
1480	166161	170424
1481	166261	170299
1482	166370	170184
1483	166470	170060
1484	166555	169920
1485	166659	169800
1486	166770	169686
1487	166870	169561
1488	166968	169435
1489	167108	169351
1490	167219	169238
1491	167341	169136
1492	167456	169027
1493	167560	168906
1494	167678	168800
1495	167772	168670
1496	167879	168552
1497	168033	168481
1498	168175	168399
1499	168325	168325
1500	168444	168220
1501	168576	168127
1502	168739	168065
1503	168884	167986
1504	169027	167904
1505	169189	167841
1506	169339	167766
1507	169456	167658
1508	169607	167584
1509	169735	167487
1510	169853	167380
1511	170054	167355
1512	170190	167265
1513	170314	167164
1514	170436	167061
1515	170566	166966
1516	170698	166872
1517	170840	166789
1518	170960	166683
1519	171086	166583
1520	171202	166475
1521	171351	166398
1522	171482	166303
1523	171624	166218
1524	171746	166115
1525	171863	166007
1526	171997	165914
1527	172168	165858
1528	172303	165767
1529	172462	165699
1530	172581	165592
1531	172705	165490
1532	172827	165386
1533	172962	165295
1534	173089	165196
1535	173228	165108
1536	173344	164998
1537	173474	164902
1538	173598	164800
1539	173732	164707
1540	173862	164610
1541	174002	164523
1542	174124	164419
1543	174241	164310
1544	174360	164203
1545	174481	164098
1546	174638	164027
1547	174760	163922
1548	174934	163867
1549	175110	163813
1550	175226	163702
1551	175367	163615
1552	175491	163513
1553	175635	163428
1554	175741	163309
1555	175889	163229
1556	176017	163130
1557	176159	163044
1558	176303	162959
